BlockId,sequence_length,event_sequence
blk_1075206091,20,922533db 3d03eae3 49b14d5d 42c7c0ac 77b61b36 922533db 1db454a4 7d1c7286 42c7c0ac 77b61b36 922533db 350c7de6 49b14d5d 42c7c0ac 77b61b36 e470ff4c f8bb2644 f8bb2644 f8bb2644 54dc53ad
blk_1075393912,20,062ddf90 80dc531d b8555fce 5f073ac1 5579c056 062ddf90 be730c53 d329f567 5f073ac1 5579c056 062ddf90 86b9db77 d329f567 5f073ac1 5579c056 5774f173 db1d712b db1d712b db1d712b a5ba1e42
blk_1073908205,33,8aa46abe f086088d 8aa46abe ba0c2a75 b820a3cc 7a65486c 059fbb65 7a65486c 059fbb65 b108e632 716b64d2 8aa46abe f086088d 8aa46abe f086088d 10d14c5c 059fbb65 10d14c5c 059fbb65 8aa46abe f086088d b108e632 716b64d2 8aa46abe 8d048253 a081615b b108e632 716b64d2 8aa46abe 7ebb215c a081615b b108e632 716b64d2
blk_1076193378,20,b1a1f100 c15a7540 6eaf67bc acb764b2 a7a5b891 b1a1f100 de078bba 3fe1948e acb764b2 a7a5b891 b1a1f100 2d13568f 6eaf67bc acb764b2 a7a5b891 a8f5a0b8 02c9192d 02c9192d 02c9192d 1cd3830e
blk_1074504894,15,257c4e9b f375cbf7 08266021 19cc306a 6120f923 257c4e9b f65f2e17 b0a4a643 19cc306a 6120f923 257c4e9b 50552e59 08266021 19cc306a 6120f923
blk_1075719439,20,273082b7 e10b3217 97b28de3 42df7859 c6ec5d2d 273082b7 10de733a 97b28de3 42df7859 c6ec5d2d 273082b7 996d73cb 4d925300 42df7859 c6ec5d2d 03fa5813 ddce2d28 ddce2d28 ddce2d28 71760046
blk_1075886605,20,f7efb43c c5fe3a8c 86050f44 22650d25 399638b0 f7efb43c d6146a55 b6a9ed93 22650d25 399638b0 f7efb43c 975ec2cf 86050f44 22650d25 399638b0 fbd43842 0b5bcf9a 0b5bcf9a 0b5bcf9a 795fcc56
blk_1073819056,9,23a3fdb9 4f4c2a4c 813f8a1a 23a3fdb9 75705ebd 5c397ac7 23a3fdb9 1020a8c1 813f8a1a
blk_1074096848,15,35b3318b dcb43710 2c9fb4a4 e23c82cc 5d59a743 35b3318b 85e0092e 2c9fb4a4 e23c82cc 5d59a743 35b3318b e8318d58 3f1f16ff e23c82cc 5d59a743
blk_1074748545,20,ee0f8e0c a36d172f f70ea8fd c34c8f3a 4147015a ee0f8e0c 45fbb6b6 5bb10ff6 c34c8f3a 4147015a ee0f8e0c e6728fbd 5bb10ff6 c34c8f3a 4147015a 84fd6bd6 8a7c1785 8a7c1785 8a7c1785 f41b7e8b
blk_1074137191,15,1b147906 d76ae94e b4801c43 ce295b24 b2aa2b8d 1b147906 dd5f003b b4801c43 ce295b24 b2aa2b8d 1b147906 1c2f867c 2bc025fd ce295b24 b2aa2b8d
blk_1075706695,20,a3f60d11 49f22619 f1b90550 861e96ca d3a7b102 a3f60d11 0675524d 6085b747 861e96ca d3a7b102 a3f60d11 d78975ee f1b90550 861e96ca d3a7b102 6c496df0 c12b82a3 c12b82a3 c12b82a3 5965a8f4
blk_1075104603,20,1bf59ce0 cdc44a8e b389ae5c 1de8d6a9 0fc145f8 1bf59ce0 097f4345 b389ae5c 1de8d6a9 0fc145f8 1bf59ce0 7013f8d3 7a9775f7 1de8d6a9 0fc145f8 b9e8faa9 df2b2001 df2b2001 df2b2001 6ad5ebf0
blk_1075258278,20,8148d1fe 87ec4a2a 7e5d491a 63c7c39d fbd248cf 8148d1fe 690d364e 3ed67d24 63c7c39d fbd248cf 8148d1fe 2ef912da 7e5d491a 63c7c39d fbd248cf 96a56676 d05e42d9 d05e42d9 d05e42d9 2aaf2d31
blk_1074283390,15,dbfe269c e27b6b76 99b8a2f4 d5b9afe0 5e342d22 dbfe269c df5c778b 99b8a2f4 d5b9afe0 5e342d22 dbfe269c 80c86791 49d4bf91 d5b9afe0 5e342d22
blk_1073810374,26,de9c662c cc903cc8 32912e3a 57444c03 de9c662c 0822600c 6d2bd910 de9c662c b7fcde1c 6d2bd910 177ddb9f 578f1511 177ddb9f 578f1511 de9c662c 7b892d42 6df8fe86 de9c662c cc903cc8 0ceee4e0 602bcb26 c384ba75 c2d57e31 b81660a6 0ceee4e0 602bcb26
blk_1074754503,20,647a5acd ab321920 9902f52a 7ffdd817 17227fa2 647a5acd bb22c410 89abb567 7ffdd817 17227fa2 647a5acd 57c144ab 9902f52a 7ffdd817 17227fa2 4a7f91bf 9064b330 9064b330 9064b330 ea7f6a64
blk_1076095186,20,2c819c0b 4a5eaf6d d8978b05 422b855c d51d2efd 2c819c0b 392ac5e1 4b897957 422b855c d51d2efd 2c819c0b ffd5f3ab d8978b05 422b855c d51d2efd f317c09e 006e01b4 006e01b4 006e01b4 989761b3
blk_1075144192,16,fbd90fe9 3ebba901 18865c6a 09a91072 259f4119 fbd90fe9 ce488aa7 55dbfa45 09a91072 259f4119 3bbf2281 3fe6dfa7 3fe6dfa7 fc47dbe0 e1a3f8cd d11d2872
blk_1075556929,20,2d41d50f c1576f92 66d8d52e 77bd81e7 39bf22ff 2d41d50f 39759068 cd2cc00c 77bd81e7 39bf22ff 2d41d50f dfa8a24c cd2cc00c 77bd81e7 39bf22ff e860f24d 25e8c672 e3f1aed4 e3f1aed4 8e675c97
blk_1075813225,15,bf548d6f bf38d754 f3a48c65 66ca1f8d 0480fb18 bf548d6f 9f944036 f3a48c65 66ca1f8d 0480fb18 fcf11e0f 05b2096c 05b2096c 05b2096c 7b478e08
blk_1076018940,20,d5a5eb26 8f4f9b59 2459c4df bd26996f 49940c30 d5a5eb26 10c74aff 5b5919d0 bd26996f 49940c30 d5a5eb26 03200375 5b5919d0 bd26996f 49940c30 7fab2d5a 965d453e 965d453e 965d453e 57a63b2e
blk_1074448036,10,e7468e15 40cd2162 a61bd8c1 c46cfe07 c5349568 e7468e15 f7a2b10b daad1077 c46cfe07 c5349568
blk_1074754129,20,ac881cda 3469493f 346e8b06 6d74c4c7 d6dd588a ac881cda 0c8d784f cccacaea 6d74c4c7 d6dd588a ac881cda 71c5449f cccacaea 6d74c4c7 d6dd588a 15b6e653 c2efa03d c2efa03d c2efa03d 0a057437
blk_1075909319,20,edda85c5 832eff68 029c31ce 1ad11069 7daf57f2 edda85c5 1c256d64 029c31ce 1ad11069 7daf57f2 edda85c5 57ef6cc1 eb26fadb 1ad11069 7daf57f2 4dd25c56 20c743e6 20c743e6 20c743e6 4054a83f
blk_1076062136,20,12835bd0 cc889284 50f40ad2 5fe3cfaf d0bf0897 12835bd0 98aa5b12 50f40ad2 5fe3cfaf d0bf0897 12835bd0 7711a7e8 430c626c 5fe3cfaf d0bf0897 253dffa4 2701456f 2701456f 2701456f a6daa4e2
blk_1073886068,12,45a723f6 6aec3b74 e9c02dd9 24db8579 a225008c 45a723f6 c59ecd6f 45a723f6 c8268d5b e9c02dd9 885d759d b448ccc2
blk_1074807904,20,9da7a0b2 cd46f419 10888e30 0e28b92d 6654c57f 9da7a0b2 91d3dccd 10888e30 0e28b92d 6654c57f 9da7a0b2 5bc3fb08 e84146e3 0e28b92d 6654c57f 85782c92 46988982 46988982 46988982 b9dc4658
blk_1075645939,20,13787905 b5930009 e1900ed0 18f5d504 34b9b47a 13787905 c9597790 0bbaa76d 18f5d504 34b9b47a 13787905 0d1fd49b e1900ed0 18f5d504 34b9b47a c651ee38 d481e472 d481e472 d481e472 3209064e
blk_1074554405,10,6e149a3b bf141f57 3cea26bb c060bb49 10e7881b 6e149a3b 94fa8c28 ce0b3207 c060bb49 10e7881b
blk_1075935745,20,8868c66b b664eabd 2d6ce9e4 b45808dc fc3aee45 8868c66b 4db772ba 4bcbd139 b45808dc fc3aee45 8868c66b d25a4d4f 2d6ce9e4 b45808dc fc3aee45 5697b86b 4d725ef8 4d725ef8 4d725ef8 0d187f01
blk_1075807651,20,7eff88e4 08ac2753 bd73bd05 69311751 f3691377 7eff88e4 8d55d078 885e5c50 69311751 f3691377 7eff88e4 6af70802 bd73bd05 69311751 f3691377 82f312f5 d4ffedf9 d4ffedf9 d4ffedf9 6653ec1c
blk_1074267783,15,f6b318a7 8a8d8a84 992a238e dacd2c03 2f576f6a f6b318a7 670b4151 71d59d6f dacd2c03 2f576f6a f6b318a7 8da46fb5 992a238e dacd2c03 2f576f6a
blk_1076019641,20,3cb2e56e bd7b133c 4b394375 a034c15b 296ba070 3cb2e56e 6dd12931 3c27c264 a034c15b 296ba070 3cb2e56e b38771c1 4b394375 a034c15b 296ba070 27f1f067 939191de 939191de 939191de 0556a5b7
blk_1073834078,21,34b88902 87d7cbf6 8856ca08 d8be2390 85564a42 d8be2390 85564a42 34b88902 8d9acd28 34b88902 8d9acd28 34b88902 6c84f089 b733cff1 94f8b9d8 b053c1b4 34b88902 0324eba2 b733cff1 6404f221 6be36498
blk_1074344632,15,80ac1c50 8da58709 246872f3 0ab88792 a6fb1694 80ac1c50 a6a097fc 27663126 0ab88792 a6fb1694 80ac1c50 b2237561 246872f3 0ab88792 a6fb1694
blk_1074474790,15,494991bf cf66b205 6b716d3b 7657aaf3 ca26be37 494991bf b0cfb731 6b716d3b 7657aaf3 ca26be37 494991bf 714c46ab cd24bbc4 7657aaf3 ca26be37
blk_1075974021,20,ed409cd5 9da78aae 05fb172a ff6ea2f4 bd356131 ed409cd5 8e5d3e55 2dffbd79 ff6ea2f4 bd356131 ed409cd5 3117ed7d 2dffbd79 ff6ea2f4 bd356131 e09c10c7 8fc36783 8fc36783 8fc36783 c5b018b6
blk_1074790331,20,5b008bcf c9772d05 a3330232 3dd6304e 76b2c5c2 5b008bcf 20b36a84 12f58624 3dd6304e 76b2c5c2 5b008bcf b874f504 12f58624 3dd6304e 76b2c5c2 036c745b 1fd49182 1fd49182 1fd49182 acce3248
blk_1075576964,20,96ab9410 fd277dd0 b3301bba b31cb619 82a5fb2f 96ab9410 4a52fbaf b3301bba b31cb619 82a5fb2f 96ab9410 b58bbe3d 4f70d18c b31cb619 82a5fb2f 8a54b13b eaf7044e 47849be6 47849be6 8e44eb92
blk_1073986118,31,262fb94f a50f0bb3 c6009dd0 262fb94f 1a5384d7 556abaa4 b786a5dd 76474618 b786a5dd 76474618 262fb94f 59aa0608 302bd515 76474618 262fb94f 59aa0608 262fb94f 59aa0608 262fb94f 59aa0608 6a15ef80 8fd2959d 84809796 24e6d24c c7a206f2 6a15ef80 8fd2959d 6a15ef80 8fd2959d 6a15ef80 8fd2959d
blk_1075120538,20,a51c5f30 19111d6d 219566aa 1cc6f3d8 b5211e48 a51c5f30 4cf716bb b8b2d305 1cc6f3d8 b5211e48 a51c5f30 8042365a 219566aa 1cc6f3d8 b5211e48 bad7c478 3b27c828 3b27c828 3b27c828 6c108c2a
blk_1075323870,15,7c0cbdc8 6c6623ac 4dea689d ca370aac 4379d60b 7c0cbdc8 68289423 98fe4d31 ca370aac 4379d60b 49ab66ad 949593ff 42f3cde2 42f3cde2 e72af022
blk_1074761150,20,7ac12956 38925c52 95f82649 c89acfbc 97cc1b08 7ac12956 b99cc718 95f82649 c89acfbc 97cc1b08 7ac12956 c964835b 29236f76 c89acfbc 97cc1b08 2339eaa3 37d3056d 37d3056d 37d3056d defa0aef
blk_1074026191,24,657b8eeb ae1d2c7e 657b8eeb 1245293c d894d02b 19ce4a12 0e942c16 6f6690b7 71a9668c 657b8eeb ae1d2c7e 657b8eeb ae1d2c7e bb1d37b5 0e942c16 bb1d37b5 0e942c16 657b8eeb 5913e541 dad0eb4e 82ba24d8 f42e8606 82ba24d8 f42e8606
blk_1075853082,20,3f950127 789a5445 a0042a38 f8ab3231 ab1ff7d8 3f950127 19068215 a0042a38 f8ab3231 ab1ff7d8 3f950127 fa154780 f1dc4424 f8ab3231 ab1ff7d8 2687e81a ba448f37 ba448f37 ba448f37 9cab9f82
blk_1074011793,26,736fc7e7 4dd5e74d e7ecd813 736fc7e7 ff2ab41c e7ecd813 499634da 6da8b7e4 736fc7e7 a34dda98 736fc7e7 a34dda98 736fc7e7 2c118103 dce2ace7 ee5fa7e0 7073b22b ee5fa7e0 7073b22b 9d6880ef 6cb94f27 433d9e72 a9c5a438 ec5ad0b8 9d6880ef 6cb94f27
blk_1076154313,20,af90ec12 3b9225b6 aca104a2 c7e307f6 f0959db6 af90ec12 e475e9b6 9ff1de19 c7e307f6 f0959db6 af90ec12 533fa87a 9ff1de19 c7e307f6 f0959db6 32112962 586d0b5a 586d0b5a 586d0b5a fc9962ae
blk_1074740947,20,66f1c43c 954d7c4d c9008291 8815bb82 9e9b448f 66f1c43c 8ff5b3b2 479ca4e9 8815bb82 9e9b448f 66f1c43c bc8e7191 479ca4e9 8815bb82 9e9b448f 4d072d4d c29b2d80 c29b2d80 c29b2d80 bab147fc
blk_1074373987,15,8886fb67 3894c859 e5a45fe0 673c53ca 0ce1edaa 8886fb67 697855ec e5a45fe0 673c53ca 0ce1edaa 8886fb67 ad3789b9 192e4084 673c53ca 0ce1edaa
blk_1074329309,15,272ee4e1 a1725b00 8c3e6c88 c1dd00cd caebbe8f 272ee4e1 bcfb7c76 11a2b882 c1dd00cd caebbe8f 272ee4e1 608dafcc 11a2b882 c1dd00cd caebbe8f
blk_1074856430,15,3dc094ba 85f05895 7d793a8b 0c3d80c6 63a62f39 3dc094ba 73687e63 7d793a8b 0c3d80c6 63a62f39 56b569a6 42b6cf58 42b6cf58 42b6cf58 03ccfe9d
blk_1075523362,15,d3614009 d8865d6e 37357bdf d174648d 0a3f9732 d3614009 e97cf160 5614d8df d174648d 0a3f9732 2a753571 a646b41f a646b41f a646b41f d3ad1b78
blk_1074893071,20,cadb5289 f5633aab d672157e 03f0906d 7afbe971 cadb5289 c4ff91ef ce3f9030 03f0906d 7afbe971 cadb5289 b3cceff4 d672157e 03f0906d 7afbe971 7ccbf3a5 f3f88f51 f3f88f51 f3f88f51 89ee25cc
blk_1075430931,20,dacd7747 d2245724 e4b15dc4 aeee1e44 11185179 dacd7747 4bb62e0f 49e003e4 aeee1e44 11185179 dacd7747 66c543b9 e4b15dc4 aeee1e44 11185179 b85d796a 831f37dd 831f37dd 831f37dd b092b383
blk_1074360493,15,793e6ee8 7a96714a 1a053740 a61cb6a5 6e4ec5c5 793e6ee8 2c75d466 c788d351 a61cb6a5 6e4ec5c5 793e6ee8 48b07d89 1a053740 a61cb6a5 6e4ec5c5
blk_1075233620,20,b08c1545 2242a5ce f7edcef0 5762df33 9745ec72 b08c1545 6833977d e1f7b8dc 5762df33 9745ec72 b08c1545 641a85e6 e1f7b8dc 5762df33 9745ec72 022c6a9f d36905f0 d36905f0 afa7483e f0c8345b
blk_1075101118,10,b7dd87d8 30d32864 8ad48976 6e46c33e 375fde0d 401567e0 f735b501 f735b501 f735b501 395511fa
blk_1075267030,20,5575750f a1bd77b2 c77eae36 fb21ebe3 5a2084ca 5575750f 10e660d7 4a1a3029 fb21ebe3 5a2084ca 5575750f 8e1617a4 c77eae36 fb21ebe3 5a2084ca 59886493 1d23c27d 1d23c27d 3b409a0f f94b86e0
blk_1073777087,15,48271936 e4b46b3b 48271936 50e721e8 36bd7deb fa70932a f7680a15 48271936 a1b709e1 36bd7deb 48271936 682c5084 f1ecea2a 4a7e6994 e9c9228f
blk_1073753810,12,a7e91e6d 045504cc 8042c0d9 a7e91e6d 8cd330fb a7e91e6d 59098e35 ca7c1389 13facb40 0dfe87bf 4c2fdcbf 98e7567b
blk_1074507989,15,5cfb79d0 1ac547c6 3d582b74 ec028b13 81ccb9a3 5cfb79d0 df93dc01 3d582b74 ec028b13 81ccb9a3 5cfb79d0 6c5f0f8a a662e709 ec028b13 81ccb9a3
blk_1075462126,20,d7b15a86 80f4eea8 067a983e 60975cc2 956e2e88 d7b15a86 b0fb467a 3c0f57c3 60975cc2 956e2e88 d7b15a86 bd908947 067a983e 60975cc2 956e2e88 406ae761 f1eb2200 f1eb2200 f1eb2200 129eba20
blk_1076149709,20,63531bdc 932bafd2 046f0a00 23662da4 81dabc3c 63531bdc 0b8a20e2 046f0a00 23662da4 81dabc3c 63531bdc 754d4746 844f893b 23662da4 81dabc3c 9f85d432 5dfc1f66 5dfc1f66 5dfc1f66 fa766a07
blk_1075574232,20,257a562e a3856da2 dd244318 05b7b415 bc47ead1 257a562e 1a1dfd09 3ea87fef 05b7b415 bc47ead1 257a562e 88a58bb8 3ea87fef 05b7b415 bc47ead1 826a5002 cc920697 cc920697 cc920697 a4e4e2d4
blk_1074947019,20,59dcd172 a9ed644c b481a8c5 92fef788 ba74dec5 59dcd172 a52a28da b481a8c5 92fef788 ba74dec5 59dcd172 ba8ce691 3a3672f5 92fef788 ba74dec5 1765d948 d2cc945c d2cc945c d2cc945c 7cb3d33a
blk_1075358708,15,6cc650e9 b454d107 2fa952d1 2f117524 0991e66f 6cc650e9 448e8195 7422fe21 2f117524 0991e66f 659bd759 941b697e 941b697e 941b697e 588bb854
blk_1075970616,20,c4d184e5 4d061ab3 42df4ca7 13b4346a c1252b7f c4d184e5 f3884970 cc9feb64 13b4346a c1252b7f c4d184e5 4dab0c23 cc9feb64 13b4346a c1252b7f 0f51bdf2 82bee8d7 82bee8d7 82bee8d7 eee2b49f
blk_1074616065,15,00d06cb2 45b1bd0a 862a5fd4 b28cac0c cc155c75 00d06cb2 553f16a8 60178501 b28cac0c cc155c75 00d06cb2 a2fa84d6 862a5fd4 b28cac0c cc155c75
blk_1074286051,15,a5178725 067f6da2 fd62ebc1 7d97b950 3b425dc2 a5178725 8009fd53 fd62ebc1 7d97b950 3b425dc2 a5178725 f963ed2b 78ef1392 7d97b950 3b425dc2
blk_1073945044,16,11412844 96d5917b 11412844 67cbd3a5 b723fa86 82c65eeb a03eb2da 82c65eeb a03eb2da 11412844 7ebd56c7 03722fad 11412844 96d5917b 13e0b5e8 2f5294a8
blk_1074533785,15,ad5e12ec 45cbecc7 d5fc1fa1 3263ac1b 3a9081d4 ad5e12ec 3783882f 87f0606d 3263ac1b 3a9081d4 ad5e12ec cc4080e6 d5fc1fa1 3263ac1b 3a9081d4
blk_1076109205,20,b58ffeb9 00f65fca 4d206257 9a8b4c4c a6b2d03b b58ffeb9 af01ff25 4d206257 9a8b4c4c a6b2d03b b58ffeb9 4849c34a c5c2dcee 9a8b4c4c a6b2d03b 9f4499d7 f314f43f f314f43f f314f43f 1b3299ed
blk_1074524767,15,5da0baf1 f28e4e5b e9bc3d24 5b9101eb 434d5ec9 5da0baf1 2519e720 64f74201 5b9101eb 434d5ec9 5da0baf1 50f12708 e9bc3d24 5b9101eb 434d5ec9
blk_1075031401,20,d549f305 4483a8e6 09d31b91 99442757 712b860f d549f305 f7226190 09d31b91 99442757 712b860f d549f305 678e9934 92846e5a 99442757 712b860f 978e5072 3872f5bf 3872f5bf 3872f5bf 47196447
blk_1074295394,15,42a2cf30 90c48004 eca03480 614814cc d62538f2 42a2cf30 9e06d83a eca03480 614814cc d62538f2 42a2cf30 a1f08fab fc286b79 614814cc d62538f2
blk_1073976639,9,1e731e08 18ea4941 72607652 1e731e08 e7634fac a071a31c 1e731e08 aee8dc54 a071a31c
blk_1076132679,20,cc58de8a 831dfe2c 83a71d4d 36c3c12c 51e318ae cc58de8a 8d295d1f d88441f0 36c3c12c 51e318ae cc58de8a 1d8c32d1 83a71d4d 36c3c12c 51e318ae b23de729 e172aef4 e172aef4 e172aef4 0aa48151
blk_1075319935,15,5c42cc12 f8575cf4 2b60b99b 6d152aaf d1de3cea 5c42cc12 c9ec9345 1a752edd 6d152aaf d1de3cea c9ed7987 e5d6eaa7 e5d6eaa7 e5d6eaa7 0bb4b61e
blk_1074811008,20,1ea46d53 761a1790 284c7129 5c885d8b cd8def0c 1ea46d53 48951160 284c7129 5c885d8b cd8def0c 1ea46d53 6b5eb737 00811c3b 5c885d8b cd8def0c a6d6dc60 d1a26b33 d1a26b33 d1a26b33 1d22230e
blk_1074683499,20,54eb9863 81f81be1 727b0583 3ccfc8e8 97cd27ba 54eb9863 11c94296 b56b3788 3ccfc8e8 97cd27ba 54eb9863 df26a1c9 b56b3788 3ccfc8e8 97cd27ba d9f1a42a 2b8ad452 2b8ad452 2b8ad452 98be5160
blk_1073939683,26,cb6103db 3fa43f93 5b1ab68e 7db6fb17 cb6103db 7f4017b8 efa72a05 cb6103db 4af93868 fd2e2d4b 806c9c9c f3154dfa cb6103db 75b23fea efa72a05 285c6db7 f3154dfa cb6103db 3fa43f93 9ff408aa b871f419 a9640b17 c09c94c7 01df60c0 9ff408aa b871f419
blk_1075616154,15,e188ced5 84277091 9d533bbf b52b8f37 c44f31a9 e188ced5 6157dc63 8c5ae1b4 b52b8f37 c44f31a9 9bb20629 a6ef29f9 a6ef29f9 a6ef29f9 4ab3f529
blk_1075675501,20,1e70b03c 58ec48bd 34acd18a 3a1a7e79 7933a6d0 1e70b03c a1e944ce 34acd18a 3a1a7e79 7933a6d0 1e70b03c c90a6f9b 7adc0710 3a1a7e79 7933a6d0 bea5a25b 9c8d5f37 9c8d5f37 9c8d5f37 998eaa1f
blk_1073745311,5,d1a5626b 3ecc87f8 84bf18ee 3d549309 f3facdfb
blk_1074332775,15,a2799c3c f0e18b2e e0fff0ef 2181f2a5 1b2005ea a2799c3c 2ac11fbe 914d0b00 2181f2a5 1b2005ea a2799c3c aaee4c30 e0fff0ef 2181f2a5 1b2005ea
blk_1076163790,20,968dbd01 1d539ae4 c99db74b 394db1a9 9eb6a8a2 968dbd01 4f5b3cd9 b2c8fee9 394db1a9 9eb6a8a2 968dbd01 dbd3419f c99db74b 394db1a9 9eb6a8a2 95dcf736 b808e69b b808e69b b808e69b a2237384
blk_1074591794,10,406fbfb3 4938567b 9f7ac688 e529c2f4 2e9f9085 406fbfb3 33aa4641 9f7ac688 e529c2f4 2e9f9085
blk_1076150242,20,9d98c882 a82d6845 3f8c8f28 d341f1f5 4b7ab688 9d98c882 4e72382f 3f8c8f28 d341f1f5 4b7ab688 9d98c882 736017d0 3fc995c8 d341f1f5 4b7ab688 74a5cbea 4bbbafa0 4bbbafa0 4bbbafa0 e31ee1e1
blk_1074314471,10,1c5b1f2e 51fb18f7 6eadd829 de9f1375 ae617199 1c5b1f2e eb845959 d3107be3 de9f1375 ae617199
blk_1073769621,15,1558d2cd 5aa2915c 4aa1e794 fe430756 02bd4958 1558d2cd 32d72375 1558d2cd adc4fe4b f697ecfe 1558d2cd c5dc1fc3 4aa1e794 f280a1ba 98adbae0
blk_1075438079,20,884764f6 b193a2ff 55ac96f7 8b979ae6 6b68aab5 884764f6 17d6aa3a 21486558 8b979ae6 6b68aab5 884764f6 e7595bdc 21486558 8b979ae6 6b68aab5 61db7966 f5f108aa f5f108aa f5f108aa fbe594a6
blk_1075146600,20,419a6439 866d0b2a 54ed19c0 7df0d382 ee1d36de 419a6439 f726f868 54ed19c0 7df0d382 ee1d36de 419a6439 5c3d01c4 e796cb1b 7df0d382 ee1d36de a6a89db0 1d672448 1d672448 1d672448 23c4bf48
blk_1075644723,20,49bd19db 9e2cae6f cc7d1e3c 81b18bf2 679d1a38 49bd19db 9bb32e30 be624452 81b18bf2 679d1a38 49bd19db 888a2f96 be624452 81b18bf2 679d1a38 1df8b136 2fca6dc7 2fca6dc7 246e87c0 2854236a
blk_1074946662,22,e27c83e1 6dd03ec9 9a7eea00 aedd85e5 de41c880 e27c83e1 2aa0072d 9a7eea00 aedd85e5 de41c880 e27c83e1 108cd8fc bdfcd7aa aedd85e5 de41c880 c7035e58 d91e1f48 d91e1f48 d91e1f48 946c2045 b027bf34 b027bf34
blk_1074375535,15,07bf83c0 81671528 a811ffab e3ef5f2a 1eeca7c8 07bf83c0 0a12ea52 f0a9fa69 e3ef5f2a 1eeca7c8 07bf83c0 d00cf793 f0a9fa69 e3ef5f2a 1eeca7c8
blk_1074839361,20,be6dda89 aa7b239a c8569daf d500fba7 445742ae be6dda89 658928d3 c8569daf d500fba7 445742ae be6dda89 c575a614 08934ec5 d500fba7 445742ae 647d06b8 541c885d 541c885d 541c885d dc530576
blk_1075064293,20,43335948 11eef84b ed9e6b10 31b11f09 df698e82 43335948 98560784 59fc86a9 31b11f09 df698e82 43335948 29b1e25a 59fc86a9 31b11f09 df698e82 17dcead8 e9486510 e9486510 e9486510 d3f9076f
blk_1075723880,20,9c1fab75 f3bf60df 01080ac8 fe65d8fb 9bd58308 9c1fab75 d490fe76 ef7cdd59 fe65d8fb 9bd58308 9c1fab75 c4204019 01080ac8 fe65d8fb 9bd58308 495b3c04 cb07e02a cb07e02a cb07e02a 262e1ff9
blk_1074057104,15,77d8cef6 66fa49f9 4dbb619e bef77dc6 f7f6e768 77d8cef6 13f36707 42f98ac2 bef77dc6 f7f6e768 77d8cef6 d8cf38c9 4dbb619e bef77dc6 f7f6e768
blk_1075477003,20,75b9936b 23314b73 d5d0a08c bc4e71c5 0bf1f3f3 75b9936b c5d4fded 8da80240 bc4e71c5 0bf1f3f3 75b9936b d23b7e21 d5d0a08c bc4e71c5 0bf1f3f3 097308e9 415bcea3 415bcea3 415bcea3 6debbd26
blk_1073896802,9,7c8e81aa f0fa0b68 b7055603 7c8e81aa 982170a3 9d615872 7c8e81aa 9fbc174e 9d615872
blk_1073809151,9,74a475fd 1481d080 2bffb17c 74a475fd b25c3698 3a6b6116 74a475fd 6d3a0802 2bffb17c
blk_1074526268,15,6a181942 784bfc84 41beb770 0b57a36f c4a9885a 6a181942 2c6b6aaa 41beb770 0b57a36f c4a9885a 6a181942 8dc831af 3cb4357f 0b57a36f c4a9885a
blk_1074470895,15,79868465 4f151b46 73526613 05c255c7 fafac9c1 79868465 5194c52f 3b8dc6d3 05c255c7 fafac9c1 79868465 045bcb90 73526613 05c255c7 fafac9c1
blk_1075598481,20,0f01f681 5cc69c9c 3d94364a edd62235 3a09926e 0f01f681 72147c4a 5c0fa094 edd62235 3a09926e 0f01f681 28fbaf9e 3d94364a edd62235 3a09926e e0d0bca4 91b040ad 91b040ad 91b040ad 34a32d8b
blk_1075453238,20,cfaeef9a 9d232f93 d3768a9f 95e46858 70f6c032 cfaeef9a 9b3b69d4 bfe6d621 95e46858 70f6c032 cfaeef9a 805d0010 d3768a9f 95e46858 70f6c032 c08fdb01 133265ef 133265ef 133265ef 18a73f3b
blk_1075123648,21,2ca9cac4 c40e13d4 9cbe6d3a f7348dbf 0c11bb8e 2ca9cac4 85285823 34ce1bfa f7348dbf 0c11bb8e 2ca9cac4 98f78536 34ce1bfa f7348dbf 0c11bb8e c4e9e4df fc7a9c17 fc7a9c17 fc7a9c17 b73a1932 c1ea2947
blk_1073895027,15,ca881915 e19a0885 14fc9bb0 747bfd77 53738f2e ca881915 b0994ba7 38c7ba2a ca881915 4389edbc ca881915 775b592b 14fc9bb0 1beccb24 f881a49f
blk_1074268191,15,581c7467 5fc680fb 4f5e2b05 59514c22 a13a22fb 581c7467 32d35162 ea3898be 59514c22 a13a22fb 581c7467 702099ba 4f5e2b05 59514c22 a13a22fb
blk_1074657499,20,961b840a b7634681 f212708c 1af885ac 0ec692c1 961b840a 671a6e30 477da1d0 1af885ac 0ec692c1 961b840a bde14300 477da1d0 1af885ac 0ec692c1 f3a77a42 a609af0b a609af0b a609af0b bd88de21
blk_1075591035,20,9281f289 2da10265 032031a5 385daebc 536cce99 9281f289 8a19a4ed ff24b9bb 385daebc 536cce99 9281f289 e25fcac3 ff24b9bb 385daebc 536cce99 322e9efc 5a2a93f3 5a2a93f3 5a2a93f3 beb06047
blk_1074451309,10,2f9b0c0c fa9d55c6 7d9e3873 4e6f3044 32fdd417 2f9b0c0c ac876d5d 8493e734 4e6f3044 32fdd417
